"","name","color","geometry"
"3939095714",NA,"green",c(574781.294504631, 6224559.14745628)
"3957253541","Lava","green",c(575212.744673715, 6223984.66051759)
"3993362761","Cafe Gemmestedet","green",c(574789.227788683, 6224421.07623294)
"3997295960","Restaurant Hærværk","green",c(574322.220526799, 6223167.67419745)
"4081977708","Cafe Parasollen Viby","green",c(572431.511166502, 6221054.81215896)
"4084083761","It-hjørnet","green",c(573874.225704455, 6225847.76211806)
"4084111704","Salling Bistro","green",c(574980.483972361, 6223926.3966388)
"4090134347","Waxies","green",c(574930.976428344, 6224104.3960919)
"4095418358","Netto","green",c(572450.097717509, 6223992.392975)
"4103942662","Dalle Valle Bruuns","green",c(574767.820611634, 6223343.56959064)
"4114341316","Café NJoy","green",c(574543.924324339, 6223496.61431535)
"4116756585","Vinde","green",c(572113.296886287, 6225418.88266635)
"4127002609","Scandic Aarhus City Restaurant & Bar","green",c(574871.144786422, 6223906.38318535)
"4278761899",NA,"green",c(575365.575739107, 6223801.39988598)
"4356469398",NA,"green",c(574650.899013056, 6223724.35404981)
"4379852202","Lille Sal","green",c(574497.188666464, 6223772.24244164)
"4379852203","Store Sal","green",c(574487.965692925, 6223739.48629438)
"4403383115","Espresso House","green",c(574962.964454007, 6224131.18380064)
"4418717791","Det Grønne Køkken, Aarhus","green",c(574783.670429778, 6223349.40124889)
"4418976321","Tatashe","green",c(575149.053159846, 6223578.66537715)
"4434214902","Ikea Restaurant","green",c(573270.607446618, 6229373.19630034)
"4441343536","Oops","green",c(574888.999092492, 6224053.34332959)
"4441355678","Duck It Aarhus","green",c(575168.04398718, 6223602.66613793)
"4446924098","Børnenes Kontor Pølsekiosk","green",c(574759.474568028, 6223765.65594994)
"4450641000","Joe & The Juice","green",c(574847.560238573, 6223346.39763943)
"4450641001","Cinemaxx","green",c(574776.634502163, 6223355.18980771)
"4471348432","Mormors Køkken","green",c(575156.081763188, 6223600.2298165)
"4573261695","Karma","green",c(574794.037752939, 6223335.03205494)
"4574223280","Symposion Fredagsbar","green",c(574855.615650072, 6225875.98372231)
"4679362726","Plejehjemmet Ankersgade 27","green",c(573789.97336118, 6223130.02262971)
"4679362727","Plejebolig Ankersgade 25 Område Marselisborg Plejebolig","green",c(573846.765241544, 6223142.34473639)
"4679362728","Plejebolig Ankersgade 23 Område Marselisborg Plejebolig","green",c(573904.98602959, 6223159.3567191)
"4747788467",NA,"green",c(574516.693551953, 6224049.77963391)
"4874278234","Wakeup Aarhus","green",c(574776.383400298, 6223257.04168219)
"4878983391","Carl's Jr.","green",c(573822.58480384, 6225571.17665584)
"5021370122","Universitetshospitalet","green",c(573003.045171689, 6228126.85291758)
"5026479524","Aarhus H","green",c(574792.860751409, 6223394.63696563)
"5030711339","7-Eleven","green",c(574828.80673208, 6223433.90526555)
"5030711340","7-Eleven","green",c(574859.016978419, 6223443.62831306)
"5033266278","Malling","green",c(574220.645369863, 6210911.53172565)
"5033266631","Nørrevænget","green",c(571625.112601271, 6216936.19938167)
"5033266697","Tranbjerg","green",c(570660.397577242, 6217409.76344344)
"5042030355","Østbanetorvet","green",c(575542.515448021, 6224876.05477886)
"5047746768",NA,"green",c(575504.215298672, 6220831.08790142)
"5051758849","Vestre Strandallé","green",c(576747.072898345, 6228468.77757502)
"5091428823","Skadestuen og lægevagten i Aarhus","green",c(572473.053333003, 6228076.14063573)
"5158616153","MokkaHouse","green",c(576697.858385455, 6229944.04484194)
"5163456819","Hvalikopteren","green",c(574478.079660116, 6223595.43873811)
"5163965569",NA,"green",c(574981.216577393, 6226353.20600098)
"5169940710","TOBY Dao","green",c(572375.96107518, 6221337.2907072)
"5354680821","MacSupport","green",c(574689.427250768, 6226173.09127792)
"5409811177","Dokk1","green",c(575347.13231032, 6223898.31794556)
"5409811178","Skolebakken","green",c(575350.267133528, 6224232.32605837)
"5546097055","Netto","green",c(572578.531280679, 6223398.97632418)
"5546258811",NA,"green",c(572578.640379233, 6223402.80768907)
